,0,1
0,2,3
1,0,0
2,1,2
3,0,0
4,1,1
5,2,2
6,3,3
7,2,2
8,1,2
9,1,1
10,0,0
11,0,0
12,2,2
13,3,2
14,3,3
15,1,1
16,1,1
17,2,2
18,0,0
19,1,1
20,2,1
21,3,3
22,3,3
23,0,0
24,1,0
25,2,2
26,0,1
27,1,1
28,1,1
29,3,3
30,2,1
31,2,2
32,2,2
33,1,1
34,1,1
35,2,2
36,1,1
37,3,2
38,1,0
39,1,0
40,2,3
41,0,0
42,0,0
43,3,2
44,3,3
45,2,2
46,1,0
47,1,1
48,0,0
49,3,3
50,0,0
51,1,1
52,0,0
53,1,1
54,3,2
55,3,3
56,1,1
57,2,1
58,1,1
59,2,2
60,3,2
61,3,3
62,1,2
63,1,1
64,0,0
65,1,1
66,1,1
67,2,2
68,2,1
69,1,1
70,2,1
71,1,1
72,2,2
73,0,0
74,3,3
75,2,2
76,1,2
77,2,2
78,2,2
79,1,1
80,1,1
81,3,3
82,1,1
83,1,2
84,0,0
85,1,0
86,3,3
87,0,0
88,0,1
89,1,1
90,0,0
91,1,1
92,2,0
93,1,2
94,1,2
95,0,0
96,1,1
97,3,3
98,2,2
99,0,0
100,0,0
101,2,2
102,1,1
103,1,0
104,1,1
105,3,3
106,1,1
107,1,1
108,0,0
109,2,2
110,2,2
111,2,1
112,1,0
113,1,2
114,1,2
115,0,0
116,1,1
117,2,2
118,2,3
119,2,2
120,3,3
121,2,2
122,3,2
123,0,0
124,2,1
125,0,0
126,3,3
127,2,2
128,0,0
129,2,2
130,0,0
131,1,1
132,3,2
133,3,3
134,1,1
135,2,3
136,2,2
137,2,2
138,2,2
139,1,1
140,1,1
141,2,1
142,0,0
143,3,3
144,1,1
145,3,3
146,0,0
147,2,2
148,3,3
149,2,2
150,2,2
151,3,3
152,2,2
153,2,2
154,2,2
155,0,0
156,1,1
157,2,2
158,1,0
159,1,1
160,0,0
161,3,3
162,1,1
163,1,1
164,3,3
165,0,0
166,2,2
167,0,0
168,2,2
169,2,3
170,3,3
171,1,0
172,0,1
173,0,0
174,2,2
175,2,2
176,1,1
177,0,0
178,0,1
179,3,3
180,2,2
181,2,2
182,1,1
183,3,3
184,0,0
185,2,2
186,0,1
187,0,1
188,2,2
189,3,2
190,3,2
191,1,2
192,0,1
193,3,2
194,1,0
195,2,2
196,1,1
197,2,1
198,0,0
199,0,0
200,2,2
201,1,1
202,2,2
203,0,0
204,2,2
205,0,0
206,2,2
207,2,2
208,2,2
209,2,2
210,3,2
211,0,0
212,1,0
213,2,3
214,2,2
215,2,2
216,2,2
217,0,0
218,0,0
219,2,2
220,1,1
221,0,0
222,0,0
223,3,2
224,3,3
225,1,0
226,1,1
227,1,1
228,3,3
229,1,0
230,1,1
231,2,2
232,2,2
233,2,1
234,2,1
235,2,3
236,1,0
237,0,0
238,3,3
239,2,1
240,1,1
241,3,2
242,1,1
243,3,2
244,1,1
245,3,2
246,1,1
247,2,1
248,1,1
249,1,1
250,2,2
251,3,3
252,3,2
253,2,2
254,0,0
255,1,0
256,2,2
257,0,0
258,0,0
259,1,1
260,3,2
261,1,1
262,1,1
263,2,1
264,0,1
265,0,0
266,1,1
267,2,2
268,2,2
269,3,3
270,0,0
271,1,1
272,2,2
273,3,3
274,3,2
275,3,3
276,1,1
277,2,2
278,1,1
279,2,3
280,3,2
281,2,3
282,1,1
283,2,2
284,3,3
285,2,2
286,1,2
287,1,1
288,1,2
289,2,2
290,1,1
291,1,1
292,2,2
293,0,0
294,2,2
295,2,1
296,3,3
297,2,1
298,3,3
299,2,2
300,3,2
301,1,1
302,0,0
303,0,0
304,3,3
305,0,0
306,0,0
307,3,2
308,2,2
309,3,3
310,0,0
311,1,2
312,2,2
313,2,2
314,3,3
315,1,2
316,0,1
317,1,1
318,3,3
319,0,0
320,0,1
321,2,1
322,2,2
323,2,2
324,0,0
325,3,3
326,2,2
327,0,0
328,2,2
329,0,0
330,0,0
331,3,2
332,0,0
333,2,1
334,1,1
335,1,2
